2015-07-29 17:30:54 : Time=141361 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:55 : Time=142378 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:56 : Time=143388 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:57 : Time=144379 X=-14601.49609375 Y=14218.1357421875
2015-07-29 17:30:58 : Time=145389 X=-14965.78125 Y=14222.29296875
2015-07-29 17:30:59 : Time=146408 X=-15010.1591796875 Y=14222.7998046875
2015-07-29 17:31:00 : Time=147414 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:01 : Time=148407 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:02 : Time=149423 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:03 : Time=150431 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:04 : Time=151446 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:05 : Time=152439 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:06 : Time=153469 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:07 : Time=154466 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:08 : Time=155486 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:09 : Time=156490 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:10 : Time=157499 X=-16085.119140625 Y=14150.2998046875
2015-07-29 17:31:11 : Time=158529 X=-16374.7353515625 Y=14110.28515625
2015-07-29 17:31:12 : Time=159530 X=-16745.583984375 Y=14036.5498046875
2015-07-29 17:31:13 : Time=160538 X=-17110.43359375 Y=13909.1630859375
2015-07-29 17:31:14 : Time=161565 X=-17488.361328125 Y=13789.771484375
2015-07-29 17:31:15 : Time=162575 X=-18601.45703125 Y=13307.6669921875
2015-07-29 17:31:16 : Time=163593 X=-18601.45703125 Y=13307.6669921875
2015-07-29 17:31:17 : Time=164581 X=-18601.45703125 Y=13307.6669921875
2015-07-29 17:31:18 : Time=165601 X=-18601.45703125 Y=13307.6669921875
2015-07-29 17:31:19 : Time=166611 X=-18601.45703125 Y=13307.6669921875
2015-07-29 17:31:20 : Time=167630 X=-18601.45703125 Y=13307.6669921875
2015-07-29 17:31:21 : Time=168637 X=-18715.951171875 Y=13175.8974609375
2015-07-29 17:31:22 : Time=169664 X=-18827.0546875 Y=12809.818359375
2015-07-29 17:31:23 : Time=170678 X=-18759.392578125 Y=12434.546875
2015-07-29 17:31:24 : Time=171673 X=-18785.796875 Y=12500.8291015625
2015-07-29 17:31:25 : Time=172674 X=-18785.796875 Y=12500.8291015625
2015-07-29 17:31:26 : Time=173691 X=-18616.388671875 Y=11365.6494140625
2015-07-29 17:31:27 : Time=174697 X=-18464.642578125 Y=11221.482421875
2015-07-29 17:31:28 : Time=175709 X=-18366.0625 Y=11111.59375
2015-07-29 17:31:29 : Time=176712 X=-18366.0625 Y=11111.59375
2015-07-29 17:31:30 : Time=177736 X=-18347.96484375 Y=11035.37109375
2015-07-29 17:31:31 : Time=178748 X=-18098.73828125 Y=10772.4638671875
2015-07-29 17:31:32 : Time=179756 X=-17778.966796875 Y=10569.18359375
2015-07-29 17:31:33 : Time=180758 X=-17731.76953125 Y=10494.3984375
2015-07-29 17:31:34 : Time=181781 X=-17731.76953125 Y=10494.3984375
2015-07-29 17:31:35 : Time=182780 X=-16884.40234375 Y=10361.708984375
2015-07-29 17:31:36 : Time=183804 X=-16495.29296875 Y=10294.3359375
2015-07-29 17:31:37 : Time=184816 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:38 : Time=185835 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:39 : Time=186846 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:40 : Time=187854 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:41 : Time=188870 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:42 : Time=189882 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:43 : Time=190829 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:44 : Time=191873 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:45 : Time=192887 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:46 : Time=193899 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:47 : Time=194926 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:48 : Time=195948 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:49 : Time=196947 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:51 : Time=197962 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:52 : Time=198962 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:53 : Time=199976 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:54 : Time=201004 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:55 : Time=201997 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:56 : Time=203009 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:57 : Time=204021 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:58 : Time=205046 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:31:59 : Time=206063 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:00 : Time=207078 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:01 : Time=208083 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:02 : Time=209098 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:03 : Time=210113 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:04 : Time=211115 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:05 : Time=212133 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:06 : Time=213151 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:07 : Time=214140 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:08 : Time=215140 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:09 : Time=216168 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:10 : Time=217158 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:11 : Time=218171 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:12 : Time=219213 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:13 : Time=220239 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:14 : Time=221224 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:15 : Time=222223 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:16 : Time=223245 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:17 : Time=224267 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:18 : Time=225260 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:19 : Time=226291 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:20 : Time=227298 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:21 : Time=228317 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:22 : Time=229329 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:23 : Time=230354 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:24 : Time=231384 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:25 : Time=232398 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:26 : Time=233391 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:27 : Time=234409 X=-16290.55078125 Y=10273.3994140625
2015-07-29 17:32:28 : Time=235435 X=-16290.55078125 Y=10273.3994140625
2015-07-29 17:32:29 : Time=236443 X=-16290.55078125 Y=10273.3994140625
2015-07-29 17:32:30 : Time=237462 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:31 : Time=238474 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:32 : Time=239497 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:33 : Time=240513 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:34 : Time=241524 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:35 : Time=242542 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:36 : Time=243568 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:37 : Time=244576 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:38 : Time=245590 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:39 : Time=246596 X=-16267.87890625 Y=10288.0537109375
2015-07-29 17:32:40 : Time=247613 X=-16267.87890625 Y=10288.0537109375
